run_id,log10_learning_rate,learning_rate,validation_loss
1,-5.0,1e-05,0.49954
2,-4.875,1.334e-05,0.48261
3,-4.75,1.778e-05,0.46116
4,-4.625,2.371e-05,0.43454
5,-4.5,3.162e-05,0.41696
6,-4.375,4.217e-05,0.39875
7,-4.25,5.623e-05,0.38703
8,-4.125,7.499e-05,0.36937
9,-4.0,0.0001,0.35859
10,-3.875,0.00013335,0.33471
11,-3.75,0.00017783,0.33695
12,-3.625,0.00023714,0.31882
13,-3.5,0.00031623,0.31195
14,-3.375,0.0004217,0.29755
15,-3.25,0.00056234,0.28234
16,-3.125,0.00074989,0.26977
17,-3.0,0.001,0.26219
18,-2.875,0.00133352,0.26151
19,-2.75,0.00177828,0.27347
20,-2.625,0.00237137,0.28781
21,-2.5,0.00316228,0.2809
22,-2.375,0.00421697,0.2769
23,-2.25,0.00562341,0.2949
24,-2.125,0.00749894,0.28345
25,-2.0,0.01,0.26589
26,-1.875,0.01333521,0.27707
27,-1.75,0.01778279,0.28072
28,-1.625,0.02371374,0.2696
29,-1.5,0.03162278,0.26718
30,-1.375,0.04216965,0.30204
31,-1.25,0.05623413,0.3305
32,-1.125,0.07498942,0.32354
33,-1.0,0.1,0.33222
