run_id,log10_learning_rate,learning_rate,true_average_loss,true_noise_std
1,-5.0,1e-05,0.4994,0.00401
2,-4.875,1.334e-05,0.47715,0.00402
3,-4.75,1.778e-05,0.45624,0.00402
4,-4.625,2.371e-05,0.4366,0.00403
5,-4.5,3.162e-05,0.41817,0.00404
6,-4.375,4.217e-05,0.40089,0.00405
7,-4.25,5.623e-05,0.38471,0.00407
8,-4.125,7.499e-05,0.3696,0.00409
9,-4.0,0.0001,0.3555,0.00413
10,-3.875,0.00013335,0.34241,0.00417
11,-3.75,0.00017783,0.33032,0.00423
12,-3.625,0.00023714,0.31924,0.00431
13,-3.5,0.00031623,0.30895,0.00441
14,-3.375,0.0004217,0.29817,0.00455
15,-3.25,0.00056234,0.28414,0.00473
16,-3.125,0.00074989,0.26746,0.00498
17,-3.0,0.001,0.25783,0.00529
18,-2.875,0.00133352,0.26266,0.0057
19,-2.75,0.00177828,0.27442,0.00622
20,-2.625,0.00237137,0.2831,0.00687
21,-2.5,0.00316228,0.28758,0.00767
22,-2.375,0.00421697,0.28998,0.00864
23,-2.25,0.00562341,0.29105,0.00976
24,-2.125,0.00749894,0.29083,0.01101
25,-2.0,0.01,0.28965,0.01237
26,-1.875,0.01333521,0.28829,0.01378
27,-1.75,0.01778279,0.28782,0.01518
28,-1.625,0.02371374,0.2893,0.0165
29,-1.5,0.03162278,0.29361,0.01771
30,-1.375,0.04216965,0.30135,0.01877
31,-1.25,0.05623413,0.31285,0.01967
32,-1.125,0.07498942,0.3283,0.02041
33,-1.0,0.1,0.34784,0.021
