play,win
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,0
18,0
19,1
20,1
21,0
22,1
23,1
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,0
47,0
48,1
49,1
50,0
51,0
52,0
53,1
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,0
78,1
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,1
93,1
94,1
95,0
96,0
97,1
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,1
110,0
111,1
112,1
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,0
131,1
132,1
133,0
134,1
135,0
136,0
137,1
138,1
139,0
140,0
141,0
142,1
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,1
159,1
160,1
161,1
162,0
163,0
164,0
165,0
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,0
183,1
184,0
185,1
186,0
187,1
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,1
206,1
207,0
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,1
216,1
217,1
218,0
219,1
220,1
221,0
222,1
223,1
224,0
225,1
226,0
227,1
228,1
229,1
230,1
231,1
232,0
233,1
234,0
235,1
236,1
237,0
238,1
239,1
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,0
248,0
249,0
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,0
263,0
264,1
265,0
266,1
267,0
268,0
269,0
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,0
286,1
287,0
288,0
289,1
290,1
291,0
292,0
293,1
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,1
306,0
307,0
308,0
309,1
310,0
311,1
312,1
313,0
314,1
315,0
316,0
317,1
318,0
319,1
320,0
321,1
322,0
323,1
324,1
325,0
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,1
334,0
335,0
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,1
348,1
349,1
350,1
351,0
352,0
353,1
354,1
355,0
356,1
357,1
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,0
366,1
367,0
368,0
369,1
370,1
371,0
372,1
373,1
374,0
375,1
376,1
377,0
378,0
379,1
380,0
381,1
382,1
383,1
384,0
385,0
386,1
387,1
388,1
389,1
390,0
391,1
392,1
393,1
394,1
395,0
396,1
397,1
398,1
399,0
400,1
401,0
402,0
403,1
404,1
405,0
406,1
407,0
408,1
409,1
410,0
411,0
412,1
413,0
414,0
415,1
416,0
417,0
418,1
419,0
420,1
421,1
422,1
423,0
424,0
425,1
426,0
427,1
428,1
429,0
430,1
431,0
432,1
433,1
434,0
435,1
436,0
437,1
438,0
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,0
454,1
455,1
456,1
457,0
458,1
459,0
460,0
461,0
462,1
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,0
477,1
478,0
479,0
480,1
481,0
482,1
483,1
484,1
485,1
486,0
487,0
488,1
489,0
490,1
491,1
492,0
493,0
494,1
495,1
496,1
497,0
498,0
499,0
500,1
