day,A,B,C
0,100.00000000000004,100.00000000000004,100.00000000000004
1,99.9784397110288,98.62612113132467,99.87689741019616
2,100.13155574065715,99.63788854096205,99.94744834973588
3,99.7517359283613,98.6758438620245,99.59339029341851
4,99.31511080690018,99.49276047621134,99.3890993599547
5,100.16926481305032,101.74148354192266,100.75525580373733
6,101.19315578973946,100.69830477278833,99.66058733485504
7,99.87570867077586,99.29393069896575,97.02303537326364
8,101.51378939090131,99.3332639609802,96.22312212164047
9,100.99143151435685,98.59345168765088,95.30233012593129
10,101.07211418474628,99.77345754474983,96.06234795750632
11,101.22325995398144,99.50612840190006,93.15262679584478
12,102.97109996818135,100.58951564482176,94.0090264261916
13,100.42376672186772,99.68855923552634,92.07838413595262
14,100.1285622442588,98.88052862211471,91.96794311770988
15,100.17633056522544,98.66993297541488,90.57872262656545
16,100.88657923176919,98.96936601706368,88.81766580309069
17,100.06483047945471,98.80518145227286,87.39870724283526
18,101.14493400652195,99.04320948968389,88.49373498678314
19,102.29423840674471,100.44764921733234,88.98197803224163
20,102.23886624469057,100.4803405899299,88.39285913558969
21,102.98153539215157,100.44907885805044,89.0461410266589
22,103.50188905808261,100.17385027514291,89.79644043872182
23,103.78130017186045,98.69194912181445,89.83573420271148
24,102.5547009800874,96.79014536103195,86.45969423263485
25,104.00244258946998,97.58392366211918,86.54733764076559
26,103.7120413068289,98.04799383596547,85.90077266272736
27,104.97389774851807,99.31435032999518,87.60083529966663
28,104.98157718726013,99.92293521012513,88.86546990533989
29,107.81327973640862,102.97945544511799,90.75413352208912
30,107.22116666254367,100.52421845658635,91.20081704842305
31,107.84368763650282,101.75709377623942,91.192918083691
32,108.02371147116945,104.03091034864818,91.05005366090158
33,107.0522606069598,103.89676037992562,90.50584358021153
34,106.9661688990802,104.1015157079184,91.18615908768868
35,106.37140633293475,103.57630370444609,90.23304886791891
36,106.90831055418845,102.89291255626387,90.60282259679123
37,108.06538188741051,104.12718284149916,90.87895878473522
38,108.2172459321567,103.92079530438735,89.64694340003882
39,109.09797791538749,104.96642996779055,89.20516295063784
40,108.55960254591939,105.02969334209405,89.76040364807574
41,109.0095315194826,104.98809386128818,90.95595365383863
42,110.08575860879695,104.94139859910379,92.16743519159924
43,110.92238258180433,105.16665843966321,93.98337561980979
44,112.74544804054251,107.87365872123057,95.74962732209612
45,112.28725824493803,107.95221380461095,95.8509248565817
46,113.16277404041796,109.02128312154339,98.56162742079842
47,114.6264338793633,108.48906619052768,96.69739609681979
48,115.44578975973292,107.5471852485221,97.07879018590073
49,116.02388602725318,108.31362345997212,97.93207474680725
50,116.64514404857852,109.83804795868072,99.35078054246517
51,112.79551704862739,107.985684921346,97.21296976509618
52,114.16339164758084,108.03128663606027,97.95222773017622
53,113.86988166888449,107.16969934003566,96.54707635388122
54,115.85553987944833,105.59618123289847,97.16372832248166
55,115.98142981596808,105.4382364314918,94.94034661247176
56,117.64828273998533,104.94535889824947,94.20419053826545
57,117.99694246329926,104.8913507437633,95.41937113653461
58,118.87330465019593,106.25195468311588,96.04525092021498
59,119.29251987284499,104.02314496910677,95.60240592819373
60,119.42615824084382,103.72168623980951,95.49145185701968
61,116.9875695176172,102.76465628547152,94.13369123712607
62,116.00332511581078,101.7006550630914,94.84324862209569
63,118.06881961515283,101.844373620295,92.19963206444115
64,118.8868782005952,101.63722310884627,92.17844102595113
65,117.64340705264172,101.5311354207984,90.71289698638074
66,117.31927167539017,102.67605202049977,89.95536956091766
67,118.67156919748373,105.14070336250056,94.00105565866173
68,119.42212603712538,107.44670196393858,95.86629297244559
69,118.65205623442839,106.76282939787968,94.46527733994658
70,118.38681024583776,105.25946793479521,92.5818187376815
71,118.02888694626706,106.22227616196821,92.36474136087972
72,116.65539303893824,102.5298300645414,90.46618817180718
73,116.23762380117027,101.54539600606215,90.96016895660074
74,115.73602667097217,100.59154164722835,90.23573140860825
75,113.84476346281127,100.84753125959585,88.57351774998114
76,116.00553047381548,103.65629036726311,90.96371621332307
77,115.64961227692584,102.30945782853352,90.74887604770234
78,115.80502087371548,102.23030055397574,90.29319720527623
79,116.39373329786376,101.6671776091792,89.56893220186255
80,118.84018148183638,100.68153062474778,89.80389281246165
81,116.48347633047113,100.18778821162007,88.4863893856826
82,117.5088562167494,98.1406088633124,88.02302605290505
83,117.3383331767107,99.57527211168555,86.48623293589753
84,118.7538253183267,103.71974727640782,87.46567662452917
85,120.48021556212662,105.50853196980626,88.76352880834847
86,121.20336692927249,104.2652507226295,87.50039564593563
87,120.78237474182846,104.25092461576067,86.63965211672793
88,119.42971808012383,102.46861080903656,84.43910585484508
89,120.40418996199246,103.4875519194097,83.14752563750845
90,118.67288183629228,102.7575823523991,83.188187143111
91,119.90742460630872,103.36303364054818,84.75716201807401
92,118.53315865850682,100.8782801045449,83.43016576996727
93,116.66785385207399,100.81717908208012,84.13168406434957
94,116.77704706390921,101.63177775192185,83.99584681939959
95,118.27024518325182,102.70525450961215,83.89533146458048
96,118.10408769398005,100.59710011625126,82.67423997439052
97,120.61796670224744,102.97870838655832,82.7821285297364
98,119.81354790563454,103.29665229983604,81.64856536678025
99,117.97253093328258,100.7352604374156,79.06156149791059
100,118.87459607750097,102.32028156328387,78.77698462196285
101,117.55631380902405,102.85685787967965,79.39577865945708
102,116.77804013142433,102.72528101180905,76.56486657177302
103,117.29399975957868,104.24375457025367,78.20716549075838
104,116.4023914834403,103.61309134163102,76.65211859463504
105,115.56139884367136,102.65182473234452,75.53285817374628
106,117.50588603032715,104.50490964912846,76.6750665744402
107,119.81356861224701,107.51329639343717,79.83359509431298
108,120.78835055394684,108.99000160989307,80.7894952930139
109,119.2838091233446,106.66708686852812,75.88450295278511
110,118.67324906187612,105.01949252838374,72.21454028719059
111,119.32298024412289,107.2408252723038,76.37358276855473
112,120.10289967027462,107.24398591979859,76.04323119223987
113,119.20764650834282,108.73823643361047,74.42290610904864
114,119.60700175632292,107.81032986180682,76.30267746316159
115,120.89028258994422,106.74913689480556,78.22557122545473
116,121.78271205211767,107.7617161795481,79.67173076419367
117,120.27929945477568,105.58405199927681,77.09918309459317
118,120.59134121147575,109.07902008260828,80.38629398478751
119,119.0436627809015,107.36098685012874,80.01160784948097
120,116.44794748547717,106.0600924818724,80.1300590720633
121,116.44167963635348,105.04806344781103,80.3638915050668
122,118.04612157399377,103.37635283650616,80.63593763260408
123,118.65815009228598,104.51097656129384,79.86323529561355
124,120.05961626083341,107.33846290885184,79.69171096995144
125,119.37376103114146,108.17197551615362,81.46732448868025
126,117.55314824264593,105.54555579388851,80.43369471934
127,118.83662699780373,106.22299321604451,81.87297816480621
128,120.22905273616092,106.10936353189152,82.17794375367568
129,118.8466195675526,105.83497619455622,80.91894839491104
130,118.6169258068557,105.87539745081179,81.17955232723585
131,118.10657175457874,104.29839169228579,80.15290587114062
132,116.95635796225497,102.92637662712929,80.97572736955884
133,117.36807425569133,102.1390081393775,81.06159329367084
134,118.23968296069685,101.47336363483824,82.0897644982437
135,117.66697042630899,101.76155962864823,79.92553115431046
136,117.885560892106,102.59687709237528,79.48167728144287
137,119.3072431866957,104.44720958005858,81.1205056677703
138,119.79927391695422,104.25769255010034,81.12456289273928
139,118.82523106105462,103.94276497286356,80.61625941509298
